Date,Soybean
05/12/1969,2.4488
08/12/1969,2.445
09/12/1969,2.4463
10/12/1969,2.4413
11/12/1969,2.45
12/12/1969,2.46
15/12/1969,2.4688
16/12/1969,2.4713
17/12/1969,2.4763
18/12/1969,2.4675
19/12/1969,2.475
22/12/1969,2.4525
23/12/1969,2.4513
24/12/1969,2.4765
29/12/1969,2.4948
30/12/1969,2.4945
31/12/1969,2.5078
05/01/1970,2.5125
06/01/1970,2.52
07/01/1970,2.5325
08/01/1970,2.5375
09/01/1970,2.5338
12/01/1970,2.545
13/01/1970,2.5413
14/01/1970,2.5438
15/01/1970,2.5475
16/01/1970,2.5538
19/01/1970,2.56
20/01/1970,2.5325
21/01/1970,2.5475
22/01/1970,2.55
23/01/1970,2.5475
26/01/1970,2.5313
27/01/1970,2.5375
28/01/1970,2.5363
29/01/1970,2.5313
30/01/1970,2.5413
02/02/1970,2.5525
03/02/1970,2.5475
04/02/1970,2.5513
05/02/1970,2.5525
06/02/1970,2.5538
09/02/1970,2.5488
10/02/1970,2.54
11/02/1970,2.545
12/02/1970,2.545
13/02/1970,2.54
16/02/1970,2.5438
17/02/1970,2.5475
18/02/1970,2.5675
19/02/1970,2.56
20/02/1970,2.5638
24/02/1970,2.5928
25/02/1970,2.5968
26/02/1970,2.596
27/02/1970,2.5998
02/03/1970,2.6163
03/03/1970,2.6238
04/03/1970,2.595
05/03/1970,2.605
06/03/1970,2.6013
09/03/1970,2.5863
10/03/1970,2.59
11/03/1970,2.605
12/03/1970,2.6125
13/03/1970,2.6063
16/03/1970,2.595
17/03/1970,2.61
18/03/1970,2.605
19/03/1970,2.5988
20/03/1970,2.5988
23/03/1970,2.5938
24/03/1970,2.5913
25/03/1970,2.5938
26/03/1970,2.595
30/03/1970,2.5925
31/03/1970,2.5925
01/04/1970,2.6025
02/04/1970,2.5988
03/04/1970,2.6138
06/04/1970,2.6188
07/04/1970,2.6088
08/04/1970,2.6175
09/04/1970,2.6225
10/04/1970,2.6325
13/04/1970,2.6438
14/04/1970,2.6438
15/04/1970,2.6338
16/04/1970,2.6425
17/04/1970,2.64
20/04/1970,2.6388
21/04/1970,2.6563
22/04/1970,2.645
23/04/1970,2.6513
24/04/1970,2.6538
27/04/1970,2.6325
28/04/1970,2.6495
29/04/1970,2.6558
30/04/1970,2.677
01/05/1970,2.6888
04/05/1970,2.6788
05/05/1970,2.675
06/05/1970,2.6688
07/05/1970,2.6763
08/05/1970,2.6875
11/05/1970,2.6813
12/05/1970,2.6763
13/05/1970,2.6725
14/05/1970,2.6825
15/05/1970,2.6975
18/05/1970,2.6875
19/05/1970,2.68
20/05/1970,2.6938
21/05/1970,2.7213
22/05/1970,2.715
25/05/1970,2.7038
26/05/1970,2.6975
27/05/1970,2.7188
28/05/1970,2.71
01/06/1970,2.7113
02/06/1970,2.7113
03/06/1970,2.7225
04/06/1970,2.7375
05/06/1970,2.735
08/06/1970,2.76
09/06/1970,2.7625
10/06/1970,2.8
11/06/1970,2.7925
12/06/1970,2.785
15/06/1970,2.775
16/06/1970,2.7675
17/06/1970,2.7625
18/06/1970,2.77
19/06/1970,2.7825
22/06/1970,2.7913
23/06/1970,2.835
24/06/1970,2.81
25/06/1970,2.871
26/06/1970,2.8895
29/06/1970,2.9255
30/06/1970,2.916
01/07/1970,2.89
02/07/1970,2.9175
06/07/1970,2.86
07/07/1970,2.865
08/07/1970,2.9375
09/07/1970,2.895
10/07/1970,2.875
13/07/1970,2.9763
14/07/1970,2.9325
15/07/1970,2.955
16/07/1970,2.9325
17/07/1970,2.95
20/07/1970,2.955
21/07/1970,2.945
22/07/1970,2.9588
23/07/1970,2.9725
24/07/1970,2.9325
27/07/1970,2.9175
28/07/1970,2.856
29/07/1970,2.8275
30/07/1970,2.8295
31/07/1970,2.833
03/08/1970,2.835
04/08/1970,2.78
05/08/1970,2.7875
06/08/1970,2.78
07/08/1970,2.805
10/08/1970,2.79
11/08/1970,2.7788
12/08/1970,2.85
13/08/1970,2.82
14/08/1970,2.8275
17/08/1970,2.9288
18/08/1970,2.85
19/08/1970,2.895
20/08/1970,2.845
21/08/1970,2.815
24/08/1970,2.7975
25/08/1970,2.8075
26/08/1970,2.777
27/08/1970,2.786
28/08/1970,2.808
31/08/1970,2.788
01/09/1970,2.7525
02/09/1970,2.7975
03/09/1970,2.7825
04/09/1970,2.815
08/09/1970,2.825
09/09/1970,2.8225
10/09/1970,2.835
11/09/1970,2.8288
14/09/1970,2.8875
15/09/1970,2.8775
16/09/1970,2.8788
17/09/1970,2.83
18/09/1970,2.855
21/09/1970,2.8275
22/09/1970,2.8775
23/09/1970,2.9
24/09/1970,2.91
25/09/1970,2.8913
28/09/1970,2.8638
29/09/1970,2.8425
30/09/1970,2.86
01/10/1970,2.8625
02/10/1970,2.87
05/10/1970,2.9125
06/10/1970,2.9188
07/10/1970,2.9525
08/10/1970,2.9613
09/10/1970,2.9888
12/10/1970,3.0163
13/10/1970,2.9788
14/10/1970,2.9813
15/10/1970,2.9725
16/10/1970,2.9425
19/10/1970,2.9313
20/10/1970,2.9788
21/10/1970,2.985
22/10/1970,3.02
23/10/1970,3.0525
26/10/1970,3.035
27/10/1970,3.082
28/10/1970,3.084
29/10/1970,3.05
30/10/1970,3.0725
02/11/1970,3.075
04/11/1970,3.0563
05/11/1970,3.095
06/11/1970,3.0675
09/11/1970,3.0575
10/11/1970,3.08
11/11/1970,3.0775
12/11/1970,3.0825
13/11/1970,3.09
16/11/1970,3.08
17/11/1970,3.0888
18/11/1970,3.0825
19/11/1970,3.0825
20/11/1970,3.0725
23/11/1970,3.075
24/11/1970,2.9763
25/11/1970,2.9875
27/11/1970,3.0025
30/11/1970,2.99
01/12/1970,2.9975
02/12/1970,2.955
03/12/1970,2.9725
04/12/1970,2.99
07/12/1970,2.9763
08/12/1970,2.9488
09/12/1970,2.925
10/12/1970,2.91
11/12/1970,2.9275
14/12/1970,2.9275
15/12/1970,2.97
16/12/1970,2.9838
17/12/1970,2.9775
18/12/1970,2.9925
21/12/1970,2.96
22/12/1970,2.9313
23/12/1970,2.9363
24/12/1970,2.9625
28/12/1970,2.9548
29/12/1970,2.9783
30/12/1970,2.959
31/12/1970,2.9685
04/01/1971,2.9788
05/01/1971,3.0038
06/01/1971,2.995
07/01/1971,2.9925
08/01/1971,3.0288
11/01/1971,3.035
12/01/1971,3.0488
13/01/1971,3.055
14/01/1971,3.045
15/01/1971,3.11
18/01/1971,3.0825
19/01/1971,3.0975
20/01/1971,3.115
21/01/1971,3.0838
22/01/1971,3.1
25/01/1971,3.0975
26/01/1971,3.1025
27/01/1971,3.075
28/01/1971,3.0575
29/01/1971,3.0738
01/02/1971,3.0688
02/02/1971,3.0838
03/02/1971,3.0825
04/02/1971,3.0688
05/02/1971,3.0625
08/02/1971,3.035
09/02/1971,3.045
10/02/1971,3.0463
11/02/1971,3.065
12/02/1971,3.0725
16/02/1971,3.04
17/02/1971,3.0513
18/02/1971,3.0675
19/02/1971,3.0525
22/02/1971,3.0438
23/02/1971,3.0565
24/02/1971,3.0445
25/02/1971,3.0733
26/02/1971,3.0695
01/03/1971,3.0625
02/03/1971,3.0688
03/03/1971,3.07
04/03/1971,3.075
05/03/1971,3.075
08/03/1971,3.0675
09/03/1971,3.0738
10/03/1971,3.0913
11/03/1971,3.0775
12/03/1971,3.0775
15/03/1971,3.0788
16/03/1971,3.0725
17/03/1971,3.015
18/03/1971,3.0338
19/03/1971,3.0225
22/03/1971,3.0213
23/03/1971,3.0338
24/03/1971,3.0413
25/03/1971,3.0438
26/03/1971,3.045
29/03/1971,3.035
30/03/1971,2.9963
31/03/1971,3.005
01/04/1971,2.9663
02/04/1971,2.9713
05/04/1971,2.9313
06/04/1971,2.9338
07/04/1971,2.9213
08/04/1971,2.8975
12/04/1971,2.8975
13/04/1971,2.9188
14/04/1971,2.9175
15/04/1971,2.93
16/04/1971,2.9188
19/04/1971,2.9213
20/04/1971,2.9325
21/04/1971,2.9363
22/04/1971,2.9375
23/04/1971,2.9
26/04/1971,2.8775
27/04/1971,2.8895
28/04/1971,2.8975
29/04/1971,2.9215
30/04/1971,2.951
03/05/1971,2.9525
04/05/1971,2.9575
05/05/1971,3
06/05/1971,3.0013
07/05/1971,2.98
10/05/1971,2.9838
11/05/1971,2.9975
12/05/1971,3.0013
13/05/1971,2.98
14/05/1971,2.9875
17/05/1971,2.9925
18/05/1971,2.98
19/05/1971,2.9975
20/05/1971,3.0475
21/05/1971,3.0725
24/05/1971,3.0675
25/05/1971,3.1088
26/05/1971,3.0975
27/05/1971,3.1175
28/05/1971,3.11
01/06/1971,3.1275
02/06/1971,3.0925
03/06/1971,3.1075
04/06/1971,3.1225
07/06/1971,3.1475
08/06/1971,3.1825
09/06/1971,3.1725
10/06/1971,3.17
11/06/1971,3.1625
14/06/1971,3.1775
15/06/1971,3.195
16/06/1971,3.25
17/06/1971,3.25
18/06/1971,3.2613
21/06/1971,3.2325
22/06/1971,3.27
23/06/1971,3.2425
24/06/1971,3.2263
25/06/1971,3.2303
28/06/1971,3.2445
29/06/1971,3.2498
30/06/1971,3.234
01/07/1971,3.265
02/07/1971,3.305
06/07/1971,3.2875
07/07/1971,3.3225
08/07/1971,3.3088
09/07/1971,3.2975
12/07/1971,3.3988
13/07/1971,3.3925
14/07/1971,3.4175
15/07/1971,3.4338
16/07/1971,3.4875
19/07/1971,3.485
20/07/1971,3.4275
21/07/1971,3.4488
22/07/1971,3.4725
23/07/1971,3.4025
26/07/1971,3.3588
27/07/1971,3.3563
28/07/1971,3.3155
29/07/1971,3.2943
30/07/1971,3.302
02/08/1971,3.315
03/08/1971,3.33
04/08/1971,3.265
05/08/1971,3.2338
06/08/1971,3.2475
09/08/1971,3.2725
10/08/1971,3.2675
11/08/1971,3.295
12/08/1971,3.2425
13/08/1971,3.2375
16/08/1971,3.265
17/08/1971,3.335
18/08/1971,3.345
19/08/1971,3.285
20/08/1971,3.2875
23/08/1971,3.2675
24/08/1971,3.27
25/08/1971,3.2675
26/08/1971,3.1735
27/08/1971,3.182
30/08/1971,3.1568
31/08/1971,3.149
01/09/1971,3.21
02/09/1971,3.2375
03/09/1971,3.24
07/09/1971,3.2675
08/09/1971,3.2138
09/09/1971,3.2088
10/09/1971,3.1975
13/09/1971,3.1363
14/09/1971,3.15
15/09/1971,3.1188
16/09/1971,3.0925
17/09/1971,3.0775
20/09/1971,3.0738
21/09/1971,3.07
22/09/1971,3.09
23/09/1971,3.0688
24/09/1971,3.0875
27/09/1971,3.1175
28/09/1971,3.1238
29/09/1971,3.105
30/09/1971,3.0975
01/10/1971,3.11
04/10/1971,3.0775
05/10/1971,3.0775
06/10/1971,3.105
07/10/1971,3.1438
08/10/1971,3.16
11/10/1971,3.1775
12/10/1971,3.1675
13/10/1971,3.2063
14/10/1971,3.2275
15/10/1971,3.24
18/10/1971,3.205
19/10/1971,3.2625
20/10/1971,3.2275
21/10/1971,3.255
22/10/1971,3.2413
25/10/1971,3.24
26/10/1971,3.1815
27/10/1971,3.1903
28/10/1971,3.2233
29/10/1971,3.2245
01/11/1971,3.1863
02/11/1971,3.18
03/11/1971,3.1913
04/11/1971,3.2
05/11/1971,3.2375
08/11/1971,3.2238
09/11/1971,3.2088
10/11/1971,3.1825
11/11/1971,3.1575
12/11/1971,3.0588
15/11/1971,3.045
16/11/1971,3.08
17/11/1971,3.09
18/11/1971,3.095
19/11/1971,3.08
22/11/1971,3.0663
23/11/1971,3.1075
24/11/1971,3.1375
26/11/1971,3.1388
29/11/1971,3.11
30/11/1971,3.105
01/12/1971,3.1225
02/12/1971,3.1225
03/12/1971,3.155
06/12/1971,3.1338
07/12/1971,3.1113
08/12/1971,3.1275
09/12/1971,3.1238
10/12/1971,3.1163
13/12/1971,3.1088
14/12/1971,3.1375
15/12/1971,3.1425
16/12/1971,3.1538
17/12/1971,3.17
20/12/1971,3.1425
21/12/1971,3.1475
22/12/1971,3.1463
23/12/1971,3.1538
27/12/1971,3.1493
28/12/1971,3.131
29/12/1971,3.1468
30/12/1971,3.1585
03/01/1972,3.1163
04/01/1972,3.1013
05/01/1972,3.1425
06/01/1972,3.145
07/01/1972,3.1438
10/01/1972,3.115
11/01/1972,3.1188
12/01/1972,3.0725
13/01/1972,3.0713
14/01/1972,3.07
17/01/1972,3.155
18/01/1972,3.1288
19/01/1972,3.1375
20/01/1972,3.15
21/01/1972,3.1588
24/01/1972,3.15
25/01/1972,3.1875
26/01/1972,3.16
27/01/1972,3.1763
28/01/1972,3.12
31/01/1972,3.1438
01/02/1972,3.1463
02/02/1972,3.16
03/02/1972,3.1675
04/02/1972,3.1763
07/02/1972,3.165
08/02/1972,3.1438
09/02/1972,3.1413
10/02/1972,3.1413
11/02/1972,3.1613
14/02/1972,3.1738
15/02/1972,3.17
16/02/1972,3.17
17/02/1972,3.205
18/02/1972,3.2088
22/02/1972,3.195
23/02/1972,3.2488
24/02/1972,3.2635
25/02/1972,3.2918
28/02/1972,3.3345
29/02/1972,3.342
01/03/1972,3.3375
02/03/1972,3.3775
03/03/1972,3.3837
06/03/1972,3.4075
07/03/1972,3.3962
08/03/1972,3.4525
09/03/1972,3.4575
10/03/1972,3.445
13/03/1972,3.435
14/03/1972,3.375
15/03/1972,3.3775
16/03/1972,3.38
17/03/1972,3.4375
20/03/1972,3.44
21/03/1972,3.4225
22/03/1972,3.42
23/03/1972,3.4225
24/03/1972,3.4425
27/03/1972,3.435
28/03/1972,3.4425
29/03/1972,3.4387
30/03/1972,3.435
03/04/1972,3.4225
04/04/1972,3.5025
05/04/1972,3.5075
06/04/1972,3.535
07/04/1972,3.5337
10/04/1972,3.54
11/04/1972,3.5375
12/04/1972,3.5825
13/04/1972,3.5862
14/04/1972,3.5637
17/04/1972,3.5762
18/04/1972,3.505
19/04/1972,3.495
20/04/1972,3.5225
21/04/1972,3.5275
24/04/1972,3.5175
25/04/1972,3.568
26/04/1972,3.53
27/04/1972,3.4665
28/04/1972,3.493
01/05/1972,3.5
02/05/1972,3.52
03/05/1972,3.5125
04/05/1972,3.5125
05/05/1972,3.5375
08/05/1972,3.545
09/05/1972,3.515
10/05/1972,3.5125
11/05/1972,3.5325
12/05/1972,3.5225
15/05/1972,3.54
16/05/1972,3.6075
17/05/1972,3.5962
18/05/1972,3.6025
19/05/1972,3.6012
22/05/1972,3.555
23/05/1972,3.485
24/05/1972,3.52
25/05/1972,3.54
26/05/1972,3.5212
30/05/1972,3.47
31/05/1972,3.5
01/06/1972,3.5137
02/06/1972,3.5037
05/06/1972,3.5025
06/06/1972,3.515
07/06/1972,3.545
08/06/1972,3.53
09/06/1972,3.5287
12/06/1972,3.5075
13/06/1972,3.4975
14/06/1972,3.4762
15/06/1972,3.4662
16/06/1972,3.4887
19/06/1972,3.455
20/06/1972,3.4287
21/06/1972,3.4475
22/06/1972,3.4225
23/06/1972,3.4237
26/06/1972,3.4125
27/06/1972,3.4495
28/06/1972,3.4425
29/06/1972,3.458
30/06/1972,3.4805
03/07/1972,3.5475
05/07/1972,3.5775
06/07/1972,3.55
07/07/1972,3.5225
10/07/1972,3.5075
11/07/1972,3.4987
12/07/1972,3.52
13/07/1972,3.4662
14/07/1972,3.5012
17/07/1972,3.4725
18/07/1972,3.4875
19/07/1972,3.4825
20/07/1972,3.4575
21/07/1972,3.485
24/07/1972,3.4925
25/07/1972,3.4712
26/07/1972,3.4655
27/07/1972,3.445
28/07/1972,3.441
31/07/1972,3.3812
01/08/1972,3.3337
02/08/1972,3.3612
03/08/1972,3.3812
04/08/1972,3.475
07/08/1972,3.4925
08/08/1972,3.5075
09/08/1972,3.485
10/08/1972,3.46
11/08/1972,3.4925
14/08/1972,3.47
15/08/1972,3.4225
16/08/1972,3.4425
17/08/1972,3.4237
18/08/1972,3.4625
21/08/1972,3.4387
22/08/1972,3.4325
23/08/1972,3.4425
24/08/1972,3.4525
25/08/1972,3.4587
28/08/1972,3.403
29/08/1972,3.3805
30/08/1972,3.3675
31/08/1972,3.3805
01/09/1972,3.4
05/09/1972,3.4275
06/09/1972,3.39
07/09/1972,3.39
08/09/1972,3.3725
11/09/1972,3.3475
12/09/1972,3.37
13/09/1972,3.315
14/09/1972,3.37
15/09/1972,3.4075
18/09/1972,3.3975
19/09/1972,3.3662
20/09/1972,3.3675
21/09/1972,3.3875
22/09/1972,3.37
25/09/1972,3.4175
26/09/1972,3.435
27/09/1972,3.4275
28/09/1972,3.445
29/09/1972,3.4762
02/10/1972,3.39
03/10/1972,3.4112
04/10/1972,3.4037
05/10/1972,3.4275
06/10/1972,3.385
09/10/1972,3.3425
10/10/1972,3.3475
11/10/1972,3.3675
12/10/1972,3.3737
13/10/1972,3.32
16/10/1972,3.335
17/10/1972,3.3375
18/10/1972,3.3625
19/10/1972,3.37
20/10/1972,3.38
23/10/1972,3.4025
24/10/1972,3.4387
25/10/1972,3.4275
26/10/1972,3.479
27/10/1972,3.505
30/10/1972,3.579
31/10/1972,3.5475
01/11/1972,3.5875
02/11/1972,3.575
03/11/1972,3.5512
06/11/1972,3.5125
08/11/1972,3.5675
09/11/1972,3.5625
10/11/1972,3.5375
13/11/1972,3.64
14/11/1972,3.7125
15/11/1972,3.725
16/11/1972,3.695
17/11/1972,3.725
20/11/1972,3.685
21/11/1972,3.745
22/11/1972,3.7225
24/11/1972,3.7925
27/11/1972,3.88
28/11/1972,3.8275
29/11/1972,3.795
30/11/1972,3.795
01/12/1972,3.8625
04/12/1972,3.9662
05/12/1972,4.055
06/12/1972,4.015
07/12/1972,4.075
08/12/1972,4.1812
11/12/1972,4.25
12/12/1972,4.355
13/12/1972,4.255
14/12/1972,4.32
15/12/1972,4.3525
18/12/1972,4.2587
19/12/1972,4.1587
20/12/1972,4.17
21/12/1972,4.2725
22/12/1972,4.172
26/12/1972,4.138
27/12/1972,4.1615
29/12/1972,4.2645
02/01/1973,4.23
03/01/1973,4.2925
04/01/1973,4.24
05/01/1973,4.2775
08/01/1973,4.22
09/01/1973,4.275
10/01/1973,4.3775
11/01/1973,4.325
12/01/1973,4.35
15/01/1973,4.34
16/01/1973,4.4475
17/01/1973,4.5362
18/01/1973,4.6362
19/01/1973,4.7362
22/01/1973,4.775
23/01/1973,4.75
24/01/1973,4.7162
26/01/1973,4.8162
29/01/1973,4.9162
30/01/1973,4.9275
31/01/1973,4.9037
01/02/1973,4.9837
02/02/1973,5.0837
05/02/1973,5.1837
06/02/1973,5.2837
07/02/1973,5.3837
08/02/1973,5.4837
09/02/1973,5.5325
12/02/1973,5.6325
13/02/1973,5.7325
14/02/1973,5.8325
15/02/1973,5.9325
16/02/1973,6.0325
20/02/1973,6.085
21/02/1973,6.235
22/02/1973,6.385
23/02/1973,6.4585
26/02/1973,6.532
27/02/1973,6.3137
28/02/1973,6.151
01/03/1973,6.2425
02/03/1973,6.3175
05/03/1973,6.33
06/03/1973,6.48
07/03/1973,6.6075
08/03/1973,6.515
09/03/1973,6.48
12/03/1973,6.33
13/03/1973,6.18
14/03/1973,6.03
15/03/1973,6.18
16/03/1973,6.03
19/03/1973,5.88
20/03/1973,5.73
21/03/1973,5.68
22/03/1973,5.79
23/03/1973,5.8875
26/03/1973,5.8475
27/03/1973,5.6975
28/03/1973,5.5475
29/03/1973,5.3975
30/03/1973,5.3875
02/04/1973,5.5375
03/04/1973,5.6875
04/04/1973,5.8375
05/04/1973,5.9875
06/04/1973,5.945
09/04/1973,6.095
10/04/1973,6.1075
11/04/1973,6.1712
12/04/1973,6.325
13/04/1973,6.335
16/04/1973,6.4462
17/04/1973,6.395
18/04/1973,6.3412
19/04/1973,6.455
23/04/1973,6.5387
24/04/1973,6.54
25/04/1973,6.6185
26/04/1973,6.697
27/04/1973,6.7755
30/04/1973,6.923
01/05/1973,6.9325
02/05/1973,7.0825
03/05/1973,7.2325
04/05/1973,7.255
07/05/1973,7.455
08/05/1973,7.655
09/05/1973,7.855
10/05/1973,8.055
11/05/1973,7.97
14/05/1973,8.17
15/05/1973,8.37
16/05/1973,8.38
17/05/1973,8.18
18/05/1973,8.38
21/05/1973,8.58
22/05/1973,8.78
23/05/1973,8.98
24/05/1973,9.18
25/05/1973,9.38
29/05/1973,9.78
30/05/1973,10.18
31/05/1973,10.58
01/06/1973,11.325
04/06/1973,12.11
05/06/1973,11.8
06/06/1973,10.125
07/06/1973,9.65
08/06/1973,10.17
11/06/1973,11.55
12/06/1973,11.48
13/06/1973,11
14/06/1973,10.15
15/06/1973,10.49
18/06/1973,11.225
19/06/1973,11.38
20/06/1973,11.325
22/06/1973,11.51
25/06/1973,11.514
26/06/1973,10.856
27/06/1973,10.59
29/06/1973,10.04
02/07/1973,9.65
03/07/1973,9.25
05/07/1973,8.85
06/07/1973,8.45
09/07/1973,8.05
10/07/1973,7.65
11/07/1973,7.4
12/07/1973,7.8
13/07/1973,8.2
16/07/1973,8.6
17/07/1973,9
18/07/1973,9.4
19/07/1973,9.8
20/07/1973,10.2
23/07/1973,10.6
24/07/1973,11
25/07/1973,11.4
26/07/1973,10.74
27/07/1973,10.08
30/07/1973,9.48
31/07/1973,9.35
01/08/1973,8.72
02/08/1973,8.32
03/08/1973,8.2
06/08/1973,8.2
07/08/1973,8.5
08/08/1973,8.5
09/08/1973,8.75
10/08/1973,9.15
13/08/1973,9.55
14/08/1973,9.4
15/08/1973,9.01
16/08/1973,8.62
17/08/1973,8.75
20/08/1973,8.4
21/08/1973,8.14
22/08/1973,7.74
23/08/1973,7.4
24/08/1973,7.8
27/08/1973,7.4
28/08/1973,7.002
29/08/1973,7.354
30/08/1973,7.252
31/08/1973,7.048
04/09/1973,6.81
05/09/1973,6.61
06/09/1973,6.56
07/09/1973,6.61
10/09/1973,6.515
11/09/1973,6.505
12/09/1973,6.305
13/09/1973,6.14
14/09/1973,6.18
17/09/1973,6.305
18/09/1973,6.115
19/09/1973,6.16
20/09/1973,6.36
21/09/1973,6.39
24/09/1973,6.59
